Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-05-18,RELIANCE,EQ,873.95,874.9,894.0,872.2,891.5,891.55,885.61,2250982,199349407815000.0,73046,1087241,0.483
2015-05-19,RELIANCE,EQ,891.55,891.25,904.75,886.6,895.0,895.55,895.25,3317436,296994539715000.0,120107,1773899,0.5347
2015-05-20,RELIANCE,EQ,895.55,900.4,911.0,897.7,906.9,908.85,905.03,1990706,180165716545000.0,56632,939754,0.4721
2015-05-21,RELIANCE,EQ,908.85,911.25,915.4,894.1,895.6,896.75,902.19,2459446,221889067185000.0,53848,1074861,0.43700000000000006
2015-05-22,RELIANCE,EQ,896.75,897.0,905.6,897.0,902.3,903.85,901.65,1908452,172076261770000.0,60427,1025731,0.5375
2015-05-25,RELIANCE,EQ,903.85,900.0,908.0,892.35,893.1,894.5,898.93,1512612,135972767715000.02,28170,607306,0.40149999999999997
2015-05-26,RELIANCE,EQ,894.5,895.0,896.0,882.7,887.0,884.6,889.75,2173883,193420731005000.0,53213,1169442,0.538
2015-05-27,RELIANCE,EQ,884.6,886.0,890.9,880.2,884.9,885.3,885.53,1846549,163517735040000.0,44569,994424,0.5385
2015-05-28,RELIANCE,EQ,885.3,885.85,894.25,872.0,876.6,875.8,879.97,6066339,533820762355000.0,79015,3583692,0.5908
2015-05-29,RELIANCE,EQ,875.8,879.9,886.45,873.1,880.85,877.0,877.96,6692348,587558198535000.0,112299,5112969,0.7640000000000001
2015-06-01,RELIANCE,EQ,877.0,880.0,904.9,878.0,902.05,902.25,899.09,4479082,402709968650000.0,81472,3124255,0.6975
2015-06-02,RELIANCE,EQ,902.25,905.75,918.8,891.45,897.0,898.65,903.61,4612571,416798731675000.0,92076,2432032,0.5273
2015-06-03,RELIANCE,EQ,898.65,899.0,910.45,888.5,895.0,896.35,898.63,3553618,319339837435000.0,91150,1820172,0.5122
2015-06-04,RELIANCE,EQ,896.35,904.2,916.2,892.55,915.8,912.7,905.49,3641649,329747378175000.0,84220,1994117,0.5476
2015-06-05,RELIANCE,EQ,912.7,909.9,916.95,904.45,910.4,907.75,910.16,2986745,271841336965000.0,74316,1608043,0.5384000000000001
2015-06-08,RELIANCE,EQ,907.75,906.8,910.0,883.1,885.25,885.45,894.43,2479431,221767198960000.0,64508,1326243,0.5349
2015-06-09,RELIANCE,EQ,885.45,883.55,890.65,877.35,883.95,883.7,883.88,2092303,184933813515000.0,65744,1105029,0.5281
2015-06-10,RELIANCE,EQ,883.7,886.0,909.9,885.0,906.3,905.8,903.28,3088017,278935317610000.0,79564,1807008,0.5852
2015-06-11,RELIANCE,EQ,905.8,906.0,909.5,873.65,877.5,877.15,885.57,3354787,297091107840000.0,65663,1854142,0.5527000000000001
2015-06-12,RELIANCE,EQ,877.15,879.0,892.7,878.25,891.5,889.85,887.95,4924556,437275658225000.0,103898,2607451,0.5295000000000001
2015-06-15,RELIANCE,EQ,889.85,894.9,905.0,890.0,901.45,901.75,900.02,2939253,264538175494999.97,113717,1549214,0.5271
2015-06-16,RELIANCE,EQ,901.75,899.0,905.0,893.2,904.5,903.95,897.72,3184005,285833463295000.0,96212,2019309,0.6342
2015-06-17,RELIANCE,EQ,903.95,905.05,942.35,894.0,931.45,931.2,923.67,5996339,553866607750000.0,136777,2801962,0.4673
2015-06-18,RELIANCE,EQ,931.2,932.55,982.0,932.5,980.05,978.95,966.38,11284420,1090508676110000.0,265987,5242586,0.4646
2015-06-19,RELIANCE,EQ,978.95,982.5,1006.4,982.5,997.15,996.65,994.47,10448751,1039101674570000.1,260477,5255208,0.503
2015-06-22,RELIANCE,EQ,996.65,996.95,1008.7,986.5,992.65,991.7,993.41,4433185,440398045705000.0,120226,2072188,0.46740000000000004
2015-06-23,RELIANCE,EQ,991.7,992.65,1002.7,991.0,993.2,995.0,996.31,3659045,364555861120000.0,90238,1969301,0.5382
2015-06-24,RELIANCE,EQ,995.0,995.0,1006.45,986.65,987.15,990.9,998.05,4252334,424406195960000.0,121988,2182995,0.5134000000000001
2015-06-25,RELIANCE,EQ,990.9,987.0,1009.0,985.0,1006.8,1004.55,1001.13,6211775,621880516890000.0,122268,3909988,0.6294
2015-06-26,RELIANCE,EQ,1004.55,999.9,1014.1,995.4,999.5,1000.7,1002.84,4792657,480626808425000.0,116973,2397982,0.5003
2015-06-29,RELIANCE,EQ,1000.7,987.9,993.85,972.0,990.3,990.85,983.69,4610282,453509202425000.0,116484,2437703,0.5288
2015-06-30,RELIANCE,EQ,990.85,989.9,1002.85,988.0,999.0,1000.1,994.4,5299670,526997973575000.0,128344,3320620,0.6265999999999999
2015-07-01,RELIANCE,EQ,1000.1,1001.0,1010.45,1001.0,1006.0,1005.65,1006.47,3388578,341049040935000.0,91024,2009894,0.5931000000000001
2015-07-02,RELIANCE,EQ,1005.65,1009.0,1019.75,1007.1,1008.05,1010.85,1013.68,3641605,369140555550000.0,100369,1995021,0.5478000000000001
2015-07-03,RELIANCE,EQ,1010.85,1009.75,1013.8,1003.05,1005.4,1007.2,1008.46,3161556,318830741540000.0,87704,1882915,0.5956
2015-07-06,RELIANCE,EQ,1007.2,996.1,1018.9,995.2,1017.7,1015.55,1006.87,2797340,281656538025000.0,63280,1509543,0.5396
2015-07-07,RELIANCE,EQ,1015.55,1011.0,1016.6,1000.0,1004.15,1003.25,1007.46,2581847,260109756250000.0,81763,1523014,0.5899
2015-07-08,RELIANCE,EQ,1003.25,995.85,1008.7,991.65,993.2,996.6,998.88,3472328,346843172435000.0,96915,1674121,0.48210000000000003
2015-07-09,RELIANCE,EQ,996.6,996.0,1001.0,983.15,990.0,987.4,993.14,3713532,368807385850000.0,112899,2327134,0.6267
2015-07-10,RELIANCE,EQ,987.4,991.1,1004.0,990.25,1001.9,1001.8,998.98,3682606,367885454480000.0,101337,2001485,0.5435
2015-07-13,RELIANCE,EQ,1001.8,1001.8,1012.5,995.15,1005.8,1007.0,1004.58,2253887,226421436535000.0,85261,1268558,0.5628000000000001
2015-07-14,RELIANCE,EQ,1007.0,1008.9,1011.5,995.2,996.35,997.8,1002.08,2272786,227752357785000.0,61634,1281088,0.5637
2015-07-15,RELIANCE,EQ,997.8,999.75,1014.4,999.55,1008.85,1011.15,1009.69,3093396,312338313800000.0,63040,1968555,0.6364
2015-07-16,RELIANCE,EQ,1011.15,1012.0,1027.8,1011.15,1022.35,1023.7,1023.25,3395442,347436972865000.0,93148,1974168,0.5814
2015-07-17,RELIANCE,EQ,1023.7,1025.25,1031.15,1018.0,1024.0,1021.7,1025.68,2330438,239029294700000.0,61689,1300960,0.5582
2015-07-20,RELIANCE,EQ,1021.7,1027.8,1029.95,1017.9,1024.95,1024.75,1024.25,1451127,148632313720000.0,37725,715420,0.493
2015-07-21,RELIANCE,EQ,1024.75,1028.0,1028.45,1002.75,1010.8,1007.8,1018.12,1811142,184395464095000.0,62651,887851,0.4902
2015-07-22,RELIANCE,EQ,1007.8,1005.0,1053.95,1004.6,1051.9,1050.4,1039.67,3956647,411362683300000.0,108188,1881056,0.4754
2015-07-23,RELIANCE,EQ,1050.4,1053.5,1067.85,1041.2,1044.95,1045.3,1051.89,4261457,448256429785000.06,101181,1662181,0.39
2015-07-24,RELIANCE,EQ,1045.3,1048.0,1049.65,1021.1,1029.0,1025.05,1036.68,2994363,310419063560000.0,77903,1407651,0.47009999999999996
2015-07-27,RELIANCE,EQ,1025.05,1024.9,1029.9,1001.75,1002.1,1005.35,1015.96,4598763,467215132550000.0,163170,2081832,0.45270000000000005
2015-07-28,RELIANCE,EQ,1005.35,1008.3,1016.7,1000.1,1011.1,1010.25,1010.32,3059101,309068325445000.0,102509,1756519,0.5742
2015-07-29,RELIANCE,EQ,1010.25,1009.5,1012.7,992.1,995.9,996.0,1003.07,3380933,339131737475000.0,95948,2093680,0.6193
2015-07-30,RELIANCE,EQ,996.0,1000.1,1008.0,992.3,1000.0,1000.15,1000.42,2674704,267584071600000.0,55101,1295745,0.4844
2015-07-31,RELIANCE,EQ,1000.15,1000.0,1007.9,990.0,1001.0,1001.85,1000.38,3802312,380374733205000.0,93890,2376093,0.6249
2015-08-03,RELIANCE,EQ,1001.85,1001.0,1013.85,999.4,1002.0,1002.45,1005.15,2260182,227181890460000.0,64113,1164976,0.5154
2015-08-04,RELIANCE,EQ,1002.45,1003.4,1005.65,980.0,989.35,988.0,989.8,2744569,271656486590000.0,95768,1284542,0.46799999999999997
2015-08-05,RELIANCE,EQ,988.0,988.25,1000.8,984.1,988.2,987.75,993.42,3279028,325744264765000.0,63368,1648003,0.5025999999999999
2015-08-06,RELIANCE,EQ,987.75,991.0,992.0,977.5,978.5,978.95,983.01,1990511,195669035255000.0,48334,1017167,0.511
2015-08-07,RELIANCE,EQ,978.95,979.0,994.0,977.15,984.0,984.35,987.34,1967847,194293663335000.0,72393,899677,0.4572
2015-08-10,RELIANCE,EQ,984.35,984.5,988.8,964.5,966.3,968.9,976.42,2123285,207322674610000.0,54028,1396501,0.6577
2015-08-11,RELIANCE,EQ,968.9,971.0,973.65,958.0,966.0,966.0,966.23,2002952,193530622020000.0,55157,858996,0.4289
2015-08-12,RELIANCE,EQ,966.0,963.6,966.0,940.55,942.1,942.9,954.08,2205902,210460717130000.0,85463,917328,0.41590000000000005
2015-08-13,RELIANCE,EQ,942.9,947.0,953.95,929.4,938.4,933.35,940.41,2135047,200782404055000.0,55913,1056311,0.4947
2015-08-14,RELIANCE,EQ,933.35,940.25,972.0,934.3,966.45,966.95,958.88,2912005,279226017869999.97,87760,1551207,0.5327000000000001
2015-08-17,RELIANCE,EQ,966.95,966.0,966.0,946.05,950.9,950.7,952.62,2481826,236424270515000.0,73845,1314047,0.5295000000000001
